budget,country_of_origin,genre,global_ranking,num_of_ratings,rating,release_date,title,us_gross,worldwide_gross
,Poland,A comedy of manners.,245,127703,7.71,28.05.1974,Nie ma mocnych,,
87000000,USA,Thriller,244,353045,7.63,09.02.2001,Hannibal,165092268,351692268
,United Kingdom,Biographical,243,37664,8.0,07.10.2010,Senna,1612430,10197661
180000000,USA,Fantasy,247,398191,7.62,28.11.2012,The Hobbit: An Unexpected Journey,303030651,1017030651
40000000,USA,Biographical,242,55057,7.87,12.09.2004,Ray,75331600,123971376
90000000,USA,Fantasy,241,276392,7.65,02.11.1998,Meet Joe Black,44619100,142940100
68000000,USA,Drama,240,328782,7.64,22.10.2001,K-PAX,50338485,65001485
18000000,USA,Biographical,239,64014,7.84,13.11.1980,Raging Bull,23383987,23402427
25000000,USA,Gangster,237,100358,7.75,02.06.1987,The Untouchables,76270454,186270454
6000000,Germany,Crime,238,104117,7.75,25.01.1995,The Usual Suspects,23341568,51441568
25000000,USA,Thriller,236,183867,7.68,23.05.2003,Mystic River,90135191,156595191
15000000,USA,Drama,235,519454,7.63,08.09.1999,American Beauty,130096601,356296601
7000000,USA,Drama,234,87938,7.78,07.04.2017,Gifted,24801212,43069254
1500000,USA,Comedy rom.,233,62401,7.85,27.08.1953,Roman Holiday,5000000,12000000
,Poland,Drama,232,30895,8.11,26.08.1959,Pociąg,,
,Ukraine,Drama,231,100247,7.76,29.09.2005,9 rota,26146165,26146165
140000000,USA,Historical drama,230,277826,7.66,22.11.2003,The Last Samurai,111127263,454627263
20000000,USA,Drama,229,123460,7.73,15.11.2017,Wonder,132422809,315025930
25000000,France,Sensational,228,354150,7.65,16.02.2008,Taken,145000989,226837760
165000000,USA,Animation,227,163306,7.7,23.10.2014,Big Hero 6,222527828,657869686
,Poland,Vice,226,54275,7.9,21.02.1975,Ziemia obiecana,,
,Turkey,Drama,225,23902,8.27,10.10.2019,7. Koğuştaki Mucize,17163660,17163660
110000000,USA,Sensational,224,180143,7.69,25.07.2007,The Bourne Ultimatum,227471070,444100035
7000000,USA,Crime,223,139149,7.72,08.09.2012,End of Watch,41003371,55078146
,Poland,Sensational,222,211135,7.68,31.12.1992,Psy,,
2540800,USA,Comedy,221,53113,7.91,27.03.1952,Singin' in the Rain,1884537,1985921
,USA,Drama,220,82730,7.81,24.11.1993,A Perfect World,31130999,135130999
1800000,United Kingdom,Satire,219,44830,7.97,29.01.1964,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,9440272,9523464
38000000,USA,Drama,218,94730,7.78,,Empire of the Sun,,22238696
1300000,Poland,Vice,216,198984,7.7,29.08.2019,Boże Ciało,127240,9943901
,Poland,Crime comedy,217,156751,7.72,października 1981,Vabank,,
12000000,USA,Sci-Fi,214,139215,7.74,,2001: A Space Odyssey,60481243,65889846
,Australia,Animation,213,52658,7.93,15.01.2009,Mary and Max,1740429,1740429
60000000,USA,Drama,212,309031,7.67,09.11.1994,Interview with the Vampire: The Vampire Chronicles,105264608,223664608
,Poland,Drama,211,43513,7.99,10.01.1987,Przypadek,,
29000000,USA,Biographical,208,156674,7.73,17.11.2009,The Blind Side,255982860,309231694
,Sweden,Drama,210,31117,8.14,,Persona,,
145000000,USA,Animation,215,172431,7.71,16.05.2014,How to Train Your Dragon 2,177002924,621537519
6000000,USA,Crime,209,70955,7.85,19.06.1974,Chinatown,29200000,29225935
,Japan,Action,207,69271,7.86,18.11.1995,Kōkaku Kidōtai,,
,Hong Kong,Biographical,206,72832,7.85,12.12.2008,Yip Man,22108789,22108789
70000000,USA,Animation,205,165074,7.73,05.06.1998,Mulan,120620254,304320254
13000000,USA,Drama,204,365781,7.68,01.09.2010,Black Swan,106954678,329398046
1000000,USA,Psychological,202,60976,7.9,04.08.1954,Rear Window,36764313,37034579
55000000,USA,Biographical,201,216783,7.71,27.09.2013,Captain Phillips,107100855,218791811
6000000,USA,Drama,200,208800,7.71,19.01.2001,Donnie Darko,1478493,7012321
130000000,USA,Family,203,415390,7.67,23.05.2004,Harry Potter and the Prisoner of Azkaban,250105651,797660766
28000000,USA,Thriller,198,209621,7.72,25.06.1982,Blade Runner,32914489,41722424
38000000,USA,Drama,197,108181,7.79,07.02.2003,The Life of David Gale,19955598,38955598
30000000,USA,Biographical,196,106561,7.8,13.01.2005,Coach Carter,67264877,76669806
48000000,USA,Adventurous,195,249790,7.71,24.05.1989,Indiana Jones and the Last Crusade,197171806,474171806
,Dishes,Animation,194,37545,8.08,06.09.2014,Song of the Sea,857522,4253152
90000000,USA,Crime,199,324298,7.69,12.12.2011,The Girl with the Dragon Tattoo,102515793,232617430
,Poland,Drama,193,151404,7.76,19.11.1999,Dług,,
